Date,Close,Open,High,Low,Volume,Change
2021-04-19,1029.46,1022.06,1032.64,1020.58,2009999999.9999998,0.0077
2021-04-20,1031.88,1029.18,1031.9,1025.48,1770000000.0,0.0024
2021-04-21,1022.22,1031.26,1031.26,1019.59,2890000000.0,-0.009399999999999999
2021-04-22,1025.71,1023.65,1029.8,1023.43,4090000000.0,0.0034000000000000002
2021-04-23,1026.82,1024.29,1029.79,1018.87,4099999999.9999995,0.0011
2021-04-26,1030.06,1027.4,1030.6,1025.73,2930000000.0,0.0032
2021-04-27,1021.01,1030.29,1031.95,1019.81,3410000000.0,-0.0088
2021-04-28,998.27,1021.13,1021.13,995.96,3240000000.0,-0.0223
2021-04-29,990.69,999.01,1004.57,983.73,1930000000.0,-0.0076
2021-04-30,983.45,991.08,995.74,975.66,1470000000.0,-0.0073
2021-05-03,961.81,982.97,986.2,961.3,1460000000.0,-0.022000000000000002
2021-05-04,967.2,961.32,967.68,944.15,1550000000.0,0.005600000000000001
2021-05-06,969.99,966.62,971.65,961.16,1140000000.0,0.0029
2021-05-07,978.3,970.96,981.04,970.96,1270000000.0,0.0086
2021-05-10,992.8,979.38,993.06,979.38,1320000000.0,0.0148
2021-05-11,978.61,991.41,991.41,974.1,1410000000.0,-0.0143
2021-05-12,967.1,978.27,979.99,958.57,1970000000.0,-0.0118
2021-05-13,951.77,963.31,965.27,948.04,1450000000.0,-0.0159
2021-05-14,966.72,953.91,967.18,953.91,1560000000.0,0.015700000000000002
2021-05-17,962.5,968.02,973.35,958.64,1460000000.0,-0.0044
2021-05-18,969.1,962.83,969.79,959.98,1420000000.0,0.0069
2021-05-20,971.13,968.35,971.62,962.78,1530000000.0,0.0021
2021-05-21,965.63,972.3,979.37,965.55,1530000000.0,-0.005699999999999999
2021-05-24,948.37,965.23,965.23,948.37,1540000000.0,-0.0179
2021-05-25,962.07,949.78,963.4,949.78,1680000000.0,0.0144
2021-05-26,966.06,962.69,967.49,962.69,1940000000.0,0.0040999999999999995
2021-05-27,974.08,967.01,974.29,960.64,1850000000.0,0.0083
2021-05-28,977.46,974.55,979.59,973.76,1580000000.0,0.0034999999999999996
2021-05-31,981.78,979.0,983.41,979.0,1640000000.0,0.0044
2021-06-01,984.59,982.25,984.61,979.13,1780000000.0,0.0029
2021-06-02,981.1,985.5,986.0,977.74,1610000000.0,-0.0034999999999999996
2021-06-03,990.19,981.52,992.01,981.52,1700000000.0,0.009300000000000001
2021-06-04,987.58,990.16,990.16,983.02,2150000000.0,-0.0026
2021-06-07,985.86,989.16,993.06,982.14,1950000000.0,-0.0017000000000000001
2021-06-08,986.12,986.43,988.35,982.75,1870000000.0,0.0003
2021-06-09,978.79,986.59,989.15,978.79,1690000000.0,-0.0074
2021-06-10,987.77,979.52,993.08,979.47,1820000000.0,0.0092
2021-06-11,991.13,989.39,993.9,989.15,1550000000.0,0.0034000000000000002
2021-06-14,997.41,992.8,998.85,991.93,1410000000.0,0.0063
2021-06-15,997.37,998.05,999.53,993.64,1640000000.0,-0.0
2021-06-16,998.49,997.68,1000.43,995.35,1440000000.0,0.0011
